alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,266.383857776591,0.260904855804693,0.310479921645446,0.689520078354554,0.680890414052407,0,0,0,0
0,0,326.124881136033,0.319417121582794,0.321253672869736,0.678746327130264,0.669654338843601,0,0,0,0
0,0,296.164729808236,0.29007319276027,0.317635270541082,0.682364729458918,0.672843660626732,0,0,0,0
5,0.296907216494845,268.326128181493,0.262807177454939,0.305582761998041,0.694417238001959,0.704016985012101,0.470588235294118,0.568627450980392,0.901960784313726,0.049951028403526
10,0.284775465498357,263.464049290756,0.258045102145696,0.303623898139079,0.696376101860921,0.726842533185786,0.462962962962963,0.527777777777778,0.935185185185185,0.105778648383937
15,0.284064665127021,265.636528143745,0.260172897300436,0.302644466209598,0.697355533790402,0.737351194601347,0.406451612903226,0.458064516129032,0.948387096774194,0.15181194906954
20,0.261670761670762,257.473109076545,0.252177384012287,0.296767874632713,0.703232125367287,0.76902957781859,0.434782608695652,0.502415458937198,0.932367149758454,0.202742409402547
25,0.243137254901961,241.542788872369,0.236574719757462,0.29382957884427,0.70617042115573,0.794823692358451,0.4453125,0.51171875,0.93359375,0.250734573947111
30,0.221288515406162,229.742203778623,0.225016849930091,0.292850146914789,0.707149853085211,0.825560374267726,0.45928338762215,0.517915309446254,0.941368078175896,0.300685602350637
35,0.191265060240964,222.959981933185,0.218374125301847,0.292850146914789,0.707149853085211,0.854084272937264,0.481792717086835,0.532212885154062,0.949579831932773,0.349657198824682
40,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
45,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
50,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
55,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
60,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
65,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
70,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
75,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
80,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
85,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
90,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
95,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
100,NaN,243.738111581406,0.238724888914208,0.292850146914789,0.707149853085211,0.999998241742574,0.292850146914789,0.310479921645446,0.982370225269344,1
