alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,5.43452850892264,0.150959125247851,0.388888888888889,0.611111111111111,0.661940067584571,0,0,0,0
0,0,7.97812987144843,0.221614718651345,0.305555555555556,0.694444444444444,0.707764637718072,0,0,0,0
0,0,8.07979825264376,0.224438840351215,0.305555555555556,0.694444444444444,0.70185435054471,0,0,0,0
5,0.393939393939394,5.40118029759161,0.150032786044211,0.388888888888889,0.611111111111111,0.690206348195778,0.333333333333333,0.333333333333333,1,0.0833333333333333
10,0.375,6.17478027003857,0.171521674167738,0.388888888888889,0.611111111111111,0.693293105726189,0.5,0.5,1,0.111111111111111
15,0.413793103448276,6.15566764279515,0.170990767855421,0.388888888888889,0.611111111111111,0.693293105726189,0.285714285714286,0.285714285714286,1,0.194444444444444
20,0.413793103448276,6.15341728487877,0.170928257913299,0.388888888888889,0.611111111111111,0.693293105726189,0.285714285714286,0.285714285714286,1,0.194444444444444
25,0.36,6.88196124883076,0.191165590245299,0.333333333333333,0.666666666666667,0.722182484136035,0.272727272727273,0.454545454545455,0.818181818181818,0.305555555555556
30,0.36,6.86288700176501,0.190635750049028,0.333333333333333,0.666666666666667,0.722182484136035,0.272727272727273,0.454545454545455,0.818181818181818,0.305555555555556
35,0.304347826086957,6.74776946471983,0.187438040686662,0.277777777777778,0.722222222222222,0.801956977725455,0.230769230769231,0.538461538461538,0.692307692307692,0.361111111111111
40,0.318181818181818,6.43507482249165,0.178752078402546,0.277777777777778,0.722222222222222,0.801956977725455,0.214285714285714,0.5,0.714285714285714,0.388888888888889
45,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
50,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
55,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
60,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
65,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
70,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
75,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
80,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
85,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
90,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
95,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
100,NaN,7.0933033589687,0.197036204415797,0.277777777777778,0.722222222222222,0.933273337888498,0.277777777777778,0.388888888888889,0.888888888888889,1
