alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,7.69112329246564,0.0712141045598671,0.111111111111111,0.888888888888889,0.902320043220978,0,0,0,0
0,0,7.07835948505161,0.0655403656023297,0.0925925925925926,0.907407407407407,0.921976262429378,0,0,0,0
0,0,8.9343723977506,0.0827256703495426,0.10377358490566,0.89622641509434,0.894165009469234,0,0,0,0
5,0.0980392156862745,7.98116651469858,0.0738996899509127,0.101851851851852,0.898148148148148,0.92197617823404,0.166666666666667,0.333333333333333,0.833333333333333,0.0555555555555556
10,0.0240963855421686,7.89807952848389,0.0731303660044804,0.0833333333333334,0.916666666666667,0.981472587063123,0.28,0.4,0.88,0.231481481481481
15,0.0240963855421686,7.89807952848389,0.0731303660044804,0.0833333333333334,0.916666666666667,0.981472587063123,0.28,0.4,0.88,0.231481481481481
20,0.0240963855421686,7.89807952848389,0.0731303660044804,0.0833333333333334,0.916666666666667,0.981472587063123,0.28,0.4,0.88,0.231481481481481
25,0.0123456790123457,7.47199603135771,0.0691851484384973,0.0740740740740741,0.925925925925926,0.990731769162532,0.259259259259259,0.407407407407407,0.851851851851852,0.25
30,0.0151515151515151,7.01270319299849,0.0649324369722082,0.0740740740740741,0.925925925925926,0.990731769162532,0.166666666666667,0.261904761904762,0.904761904761905,0.388888888888889
35,0.0151515151515151,7.01270319299849,0.0649324369722082,0.0740740740740741,0.925925925925926,0.990731769162532,0.166666666666667,0.261904761904762,0.904761904761905,0.388888888888889
40,0.015625,6.93439208071905,0.0642073340807319,0.0740740740740741,0.925925925925926,0.990731769162532,0.159090909090909,0.25,0.909090909090909,0.407407407407407
45,0.0185185185185185,8.08958494378751,0.0749035642943287,0.0740740740740741,0.925925925925926,0.990731769162532,0.12962962962963,0.203703703703704,0.925925925925926,0.5
50,0.0185185185185185,8.04256279153262,0.0744681739956724,0.0740740740740741,0.925925925925926,0.990731769162532,0.12962962962963,0.203703703703704,0.925925925925926,0.5
55,0.0227272727272727,8.39141609195107,0.0776982971476951,0.0740740740740741,0.925925925925926,0.990731769162532,0.109375,0.171875,0.9375,0.592592592592593
60,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
65,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
70,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
75,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
80,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
85,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
90,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
95,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
100,NaN,11.1117505864252,0.102886579503937,0.0740740740740741,0.925925925925926,0.999990867088323,0.0740740740740741,0.111111111111111,0.962962962962963,1
