alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,37.4247434693536,0.445532660349448,0.476190476190476,0.523809523809524,0.520366761961496,0,0,0,0
0,0,37.4247434693536,0.445532660349448,0.476190476190476,0.523809523809524,0.520366761961496,0,0,0,0
0,0,30.648289579148,0.364860590227953,0.457831325301205,0.542168674698795,0.545773849740509,0,0,0,0
5,0.481012658227848,36.8783352904342,0.439027801076597,0.452380952380952,0.547619047619048,0.546709976757959,0,0.4,0.6,0.0595238095238095
10,0.529411764705882,36.7681955497257,0.43771661368721,0.452380952380952,0.547619047619048,0.56176882816996,0.125,0.25,0.875,0.19047619047619
15,0.529411764705882,36.7681955497257,0.43771661368721,0.452380952380952,0.547619047619048,0.56176882816996,0.125,0.25,0.875,0.19047619047619
20,0.515625,34.7587628437147,0.413794795758508,0.428571428571429,0.571428571428571,0.595589319214395,0.15,0.35,0.8,0.238095238095238
25,0.523809523809524,34.6169150147323,0.412106131127765,0.428571428571429,0.571428571428571,0.595589319214395,0.142857142857143,0.333333333333333,0.80952380952381,0.25
30,0.518518518518519,32.0949303278633,0.382082503903134,0.404761904761905,0.595238095238095,0.641802726149546,0.2,0.4,0.8,0.357142857142857
35,0.518518518518519,32.0949303278633,0.382082503903134,0.404761904761905,0.595238095238095,0.641802726149546,0.2,0.4,0.8,0.357142857142857
40,0.48,31.4735786790246,0.374685460464578,0.392857142857143,0.607142857142857,0.678918298749236,0.264705882352941,0.470588235294118,0.794117647058823,0.404761904761905
45,0.567567567567568,30.5736668796633,0.363972224757897,0.369047619047619,0.630952380952381,0.717305424800127,0.212765957446808,0.404255319148936,0.808510638297872,0.55952380952381
50,0.567567567567568,30.5736668796633,0.363972224757897,0.369047619047619,0.630952380952381,0.717305424800127,0.212765957446808,0.404255319148936,0.808510638297872,0.55952380952381
55,0.567567567567568,30.5736668796633,0.363972224757897,0.369047619047619,0.630952380952381,0.717305424800127,0.212765957446808,0.404255319148936,0.808510638297872,0.55952380952381
60,0.575757575757576,31.2046111908065,0.371483466557221,0.369047619047619,0.630952380952381,0.736656373149666,0.235294117647059,0.411764705882353,0.823529411764706,0.607142857142857
65,0.607142857142857,31.3646185595019,0.373388316184547,0.369047619047619,0.630952380952381,0.76174989747592,0.25,0.410714285714286,0.839285714285714,0.666666666666667
70,0.727272727272727,31.330192125607,0.372978477685797,0.369047619047619,0.630952380952381,0.770710246386463,0.241935483870968,0.387096774193548,0.854838709677419,0.738095238095238
75,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
80,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
85,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
90,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
95,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
100,NaN,25.4347481856231,0.302794621257418,0.273809523809524,0.726190476190476,0.999993201177075,0.273809523809524,0.476190476190476,0.797619047619048,1
