alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,40.8846906002484,0.486722507145815,0.452380952380952,0.547619047619048,0.554377241276836,0,0,0,0
0,0,42.1886643978083,0.502246004735813,0.44047619047619,0.55952380952381,0.569212175278735,0,0,0,0
0,0,35.62770502637,0.424139345552023,0.428571428571429,0.571428571428571,0.581717756154124,0,0,0,0
5,0.493506493506494,41.3120286491978,0.491809864871402,0.452380952380952,0.547619047619048,0.554377241276836,0,0,1,0.0833333333333333
10,0.486842105263158,41.1978419983047,0.490450499979817,0.452380952380952,0.547619047619048,0.560388876219669,0.125,0.125,1,0.0952380952380952
15,0.507246376811594,40.9810942166547,0.487870169245889,0.452380952380952,0.547619047619048,0.575801801179985,0.2,0.2,1,0.178571428571429
20,0.53030303030303,41.2626758661919,0.49122233174038,0.452380952380952,0.547619047619048,0.575801801179985,0.166666666666667,0.166666666666667,1,0.214285714285714
25,0.507936507936508,40.001021707004,0.476202639369095,0.44047619047619,0.55952380952381,0.607187061128317,0.238095238095238,0.285714285714286,0.952380952380952,0.25
30,0.482758620689655,39.5835377940085,0.471232592785816,0.428571428571429,0.571428571428571,0.63825349041044,0.307692307692308,0.384615384615385,0.923076923076923,0.30952380952381
35,0.529411764705882,40.5978898863303,0.483308212932503,0.428571428571429,0.571428571428571,0.645135058030366,0.272727272727273,0.333333333333333,0.939393939393939,0.392857142857143
40,0.54,40.7432794491893,0.485039041061777,0.428571428571429,0.571428571428571,0.645135058030366,0.264705882352941,0.323529411764706,0.941176470588235,0.404761904761905
45,0.543478260869565,40.6227935768719,0.483604685438951,0.416666666666667,0.583333333333333,0.66592979762784,0.263157894736842,0.342105263157895,0.921052631578947,0.452380952380952
50,0.5,36.3548655959055,0.432796018998875,0.416666666666667,0.583333333333333,0.710294309301637,0.333333333333333,0.404761904761905,0.928571428571429,0.5
55,0.473684210526316,34.6949791309196,0.413035465844281,0.392857142857143,0.607142857142857,0.74868975657032,0.326086956521739,0.434782608695652,0.891304347826087,0.547619047619048
60,0.529411764705882,34.7175973425268,0.413304730268176,0.392857142857143,0.607142857142857,0.74868975657032,0.3,0.4,0.9,0.595238095238095
65,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
70,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
75,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
80,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
85,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
90,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
95,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
100,NaN,29.6249402807805,0.352677860485482,0.333333333333333,0.666666666666667,0.99999247547879,0.333333333333333,0.452380952380952,0.880952380952381,1
