alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,296.874680950005,0.485089347957524,0.573529411764706,0.426470588235294,0.324887526640936,0,0,0,0
0,0,332.13721410572,0.542707866185816,0.55718954248366,0.44281045751634,0.353220959917803,0,0,0,0
0,0,325.53785258204,0.531924595722287,0.558303886925795,0.441696113074205,0.346990086290138,0,0,0,0
5,0.556521739130435,294.32016148616,0.480915296546013,0.55718954248366,0.44281045751634,0.360591152447156,0.567567567567568,0.837837837837838,0.72972972972973,0.0604575163398693
10,0.551724137931034,293.152928928062,0.479008053804022,0.549019607843137,0.450980392156863,0.377711066703118,0.524590163934426,0.770491803278688,0.754098360655738,0.0996732026143791
15,0.553191489361702,288.964965195929,0.472164975810342,0.542483660130719,0.457516339869281,0.39516721010906,0.484210526315789,0.684210526315789,0.8,0.155228758169935
20,0.540816326530612,287.815149190928,0.470286191488444,0.534313725490196,0.465686274509804,0.420753648611867,0.508196721311475,0.704918032786885,0.80327868852459,0.199346405228758
25,0.522875816993464,275.653697633826,0.450414538617362,0.527777777777778,0.472222222222222,0.452406491712204,0.542483660130719,0.725490196078431,0.816993464052288,0.25
30,0.514084507042254,271.362348697966,0.443402530552232,0.51797385620915,0.48202614379085,0.480065607303051,0.526881720430108,0.709677419354839,0.817204301075269,0.303921568627451
35,0.546783625730994,273.437114748078,0.44679267115699,0.504901960784314,0.495098039215686,0.52806694265758,0.451851851851852,0.607407407407407,0.844444444444444,0.441176470588235
40,0.546783625730994,273.437114748078,0.44679267115699,0.504901960784314,0.495098039215686,0.52806694265758,0.451851851851852,0.607407407407407,0.844444444444444,0.441176470588235
45,0.547619047619048,273.769091856953,0.447335117413321,0.504901960784314,0.495098039215686,0.530886762455519,0.452898550724638,0.605072463768116,0.847826086956522,0.450980392156863
50,0.56,277.399441073685,0.453267060577917,0.504901960784314,0.495098039215686,0.547023141724415,0.451923076923077,0.586538461538462,0.865384615384615,0.509803921568627
55,0.585271317829457,277.111630482558,0.452796781834245,0.496732026143791,0.503267973856209,0.576091829612895,0.432203389830508,0.564971751412429,0.867231638418079,0.57843137254902
60,0.581967213114754,274.605971466208,0.448702567755241,0.490196078431373,0.509803921568627,0.591193111791148,0.429347826086957,0.567934782608696,0.861413043478261,0.601307189542484
65,0.610328638497653,272.098661161124,0.444605655492032,0.488562091503268,0.511437908496732,0.611437486541497,0.423558897243108,0.553884711779449,0.869674185463659,0.651960784313726
70,0.646739130434783,271.53181465014,0.443679435702843,0.485294117647059,0.514705882352941,0.631096901724733,0.41588785046729,0.542056074766355,0.873831775700935,0.699346405228758
75,0.65359477124183,259.469088696986,0.423969099178082,0.473856209150327,0.526143790849673,0.671168734987811,0.413943355119826,0.546840958605665,0.867102396514161,0.75
80,NaN,225.525676059102,0.36850600663252,0.441176470588235,0.558823529411765,0.999996449110549,0.441176470588235,0.573529411764706,0.867647058823529,1
85,NaN,225.525676059102,0.36850600663252,0.441176470588235,0.558823529411765,0.999996449110549,0.441176470588235,0.573529411764706,0.867647058823529,1
90,NaN,225.525676059102,0.36850600663252,0.441176470588235,0.558823529411765,0.999996449110549,0.441176470588235,0.573529411764706,0.867647058823529,1
95,NaN,225.525676059102,0.36850600663252,0.441176470588235,0.558823529411765,0.999996449110549,0.441176470588235,0.573529411764706,0.867647058823529,1
100,NaN,225.525676059102,0.36850600663252,0.441176470588235,0.558823529411765,0.999996449110549,0.441176470588235,0.573529411764706,0.867647058823529,1
